event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
GutsMuths Rennsteiglauf;Ultramarathon;22.05.2027;Schmiedefeld;Germany;Schmiedefeld, Germany;50.5333;11.2167;17 km / 21 km / 42 km / 74 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/gutsmuths-rennsteiglauf/;https://www.rennsteiglauf.de/;marathon.de;https://www.marathon.de/logos/gutsmuths-rennsteiglauf.jpg
Zugspitz Ultratrail;Ultramarathon;20.06.2026;Garmisch-Partenkirchen;Germany;Richard-Strauss-Platz 1, 82467 Garmisch-Partenkirchen;47.4925;11.095556;107, 86 km, 69 km, 44 km, 29 km;Salomon Zugspitz Ultratrail;https://www.zugspitz-ultratrail.com;Chat-GPT Daten;
Alb Marathon;Ultramarathon;25.10.2026;Schwäbisch Gmünd;Germany;Marktplatz, 73525 Schwäbisch Gmünd;48.800833;9.798611;50 km, 25 km;Alb Marathon Schwäbisch Gmünd;https://www.albmarathon.de;Chat-GPT Daten;
Thüringen Ultra;Ultramarathon;04.07.2026;Fröttstädt;Germany;Bahnhofstraße 1, 99880 Hörsel;50.945;10.565278;100 km;Thüringen Ultra;http://www.thueringenultra.de/startseite/index.php;Chat-GPT Daten;
Challenge Roth;Triathlon;05.07.2026;Roth;Germany;Otto-Schrimpff-Straße 12, 91154 Roth;49.2475;11.091111;Full;DATEV Challenge Roth;https://www.challenge-roth.com;Chat-GPT Daten;
Ironman Frankfurt;Triathlon;28.06.2026;Frankfurt am Main;Germany;Mainkai, 60311 Frankfurt;50.110278;8.682222;Full;Ironman European Championship Frankfurt;https://www.ironman.com/im-frankfurt;Chat-GPT Daten;
Ironman 70.3 Duisburg;Triathlon;30.08.2026;Duisburg;Germany;Kruppstraße 30, 47055 Duisburg;51.426389;6.776389;Middle;Ironman 70.3 Duisburg;https://www.ironman.com/im703-duisburg;Chat-GPT Daten;
Allgäu Triathlon;Triathlon;16.08.2026;Immenstadt;Germany;Seepromenade, 87509 Immenstadt;47.560833;10.220833;Middle;Allgäu Triathlon Mitteldistanz;https://www.allgaeu-triathlon.de;Chat-GPT Daten;
Ostseeman;Triathlon;02.08.2026;Glücksburg;Germany;Sandwigstraße 1, 24960 Glücksburg;54.834444;9.548056;Middle , Full;Ostseeman Triathlon;https://www.ostseeman.de;Chat-GPT Daten;
Berlin Triathlon;Triathlon;06.06.2026;Berlin;Germany;Straße am Borsigturm, 13507 Berlin;52.576944;13.287222;Sprint, Olympic, Middle;Berlin Triathlon;https://www.berlin-triathlon.de;Chat-GPT Daten;
Spreewald Marathon;Running;15.04.2027;Burg (Spreewald);Germany;Hauptstraße 1, 03096 Burg;51.834444;14.148333;10km, Half Marathon, Marathon;Spreewald Marathon;https://www.spreewaldmarathon.de/;Chat-GPT Daten;
Kassel Marathon;Running;20.09.2026;Kassel;Germany;Damaschkestraße 35, 34121 Kassel;51.312778;9.479722;10km, Half Marathon, Marathon;Kassel Marathon;https://www.kassel-marathon.de;Chat-GPT Daten;
Chemnitz Marathon;Running;17.05.2026;Chemnitz;Germany;Theaterplatz, 09111 Chemnitz;50.832222;12.925278;10km, Half Marathon, Marathon;Chemnitz Marathon;https://www.chemnitz-marathon.de;Chat-GPT Daten;
Oberelbe Marathon;Running;25.04.2027;Königstein;Germany;Elbufer 1, 01824 Königstein;50.9175;14.0725;10km, Half Marathon, Marathon;Oberelbe Marathon;https://www.oberelbe-marathon.de/;Chat-GPT Daten;
Magdeburg Marathon;Running;04.10.2026;Magdeburg;Germany;Magdeburg, Germany;52.1314783;11.6400789;4 km / 10 km / 21 km / 42 km;Imported from marathon.de running calendar. Source listing: https://www.marathon.de/laufevent/magdeburg-marathon/;https://magdeburg-marathon.eu/;marathon.de;https://www.marathon.de/logos/magdeburg-marathon.jpg
Salt Lake City Marathon;Running;24.04.2027;Salt Lake City;United States;451 S 200 E, Salt Lake City, UT, United States;40.7639411;-111.885371;Marathon;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
Salt Lake City Marathon - Salt Lake City Half Marathon;Running;24.04.2027;Salt Lake City;United States;451 S 200 E, Salt Lake City, UT, United States;40.7639411;-111.885371;Half Marathon;Voted Utah’s “ Best Running Event ” and “ Best Half Marathon ,” the University of Utah Health Salt Lake City Marathon Presented by Bank of America returns for its 24th annual event on April 24, 2027— where urban meets the mountains . Starting at the Olympic Legacy Bridge, this stunning course delivers sweeping views of the Wasatch Mountains while guiding runners through some of Salt Lake City’s most iconic neighborhoods, before finishing in the heart of downtown. Cross the finish line, soak in;https://runsignup.com/Race/UT/SaltLakeCity/saltlakecitymarathon;RunSignup;
7AAA Test - Cross Country;Running;18.08.2026;minneapolis;United States;3020 E 25th Street, minneapolis, MN, United States;44.9575709;-93.2273481;5K;;https://runsignup.com/Race/MN/minneapolis/7AAATest;RunSignup;
Running 4 Clean Water-PLUS - 5K Run;Running;17.10.2026;Garland;United States;LON WYNNE PARK, Garland, TX, United States;32.8740555;-96.6348677;5K;5 K Run (Chip Timed)/1 Mile Fun Run (New this year is the option of running virtually) Our continuing goal is to provide clean and safe drinking water f or the rural regions of Sierra Leone. Dirty water threatens lives and destroys livelihoods on a devastating scale. Additionally, severe issues with farming due to localized drought and soil erosion has caused short supplies of needed food to the villages. Proceeds from this 5K Run and 1 Mile Fun Run will go toward maintaining the clean water in;https://runsignup.com/Race/TX/Garland/R4CW;RunSignup;
Kingwood Christmas Cookie Dash - 2026 Cookie Dash 10K;Running;12.12.2026;Kingwood;United States;4360 Kingwood Dr, Kingwood, TX, United States;30.0487778;-95.1860561;10K;Rad Racing Company proudly presents... the 2nd Annual Kingwood Christmas Cookie Dash !! Featuring a 5k/10k/10k-Relay/Kids Dash in partnership with Dirty Dough of Kingwood and along the beautiful Kingwood Greenbelt Trails - sign up NOW and don t miss this one of a kind event!! So, lace-up your pikes, put on your best Christmas gear and come join us for the most wonderful time of the year!! This event is coupled with the Kingwood Christmas Market – featuring food, vendors, train rides, music and;https://runsignup.com/Race/TX/Kingwood/KingwoodChristmasCookieDash;RunSignup;
Kingwood Christmas Cookie Dash - 2026 Cookie Dash 5K;Running;12.12.2026;Kingwood;United States;4360 Kingwood Dr, Kingwood, TX, United States;30.0487778;-95.1860561;5K;Rad Racing Company proudly presents... the 2nd Annual Kingwood Christmas Cookie Dash !! Featuring a 5k/10k/10k-Relay/Kids Dash in partnership with Dirty Dough of Kingwood and along the beautiful Kingwood Greenbelt Trails - sign up NOW and don t miss this one of a kind event!! So, lace-up your pikes, put on your best Christmas gear and come join us for the most wonderful time of the year!! This event is coupled with the Kingwood Christmas Market – featuring food, vendors, train rides, music and;https://runsignup.com/Race/TX/Kingwood/KingwoodChristmasCookieDash;RunSignup;
Laps of Love 2026- Presented by Make Lemon Aide Foundation for Cerebral Palsy - ADULT 5K RUN;Running;07.06.2026;Buffalo;United States;901 Fuhrmann Blvd, Buffalo, NY, United States;42.8556046;-78.8679826;5K;WELCOME FRIENDS!! It is time to LOVE BOLD! Please join The Make Lemon Aide Foundation for CP at our annual 5K and One Mile honorary CP Walk/Run/Roll on Sunday, June 7th! Join the foundation in amplifying the message of hope and strength, as we are making the event bigger and better - Let s LOVE BOLD together. We are excited to share that we have been providing a decade of support to Children and Adults living with Cerebral Palsy! We are back again this year and beautiful Terminal B at the Outer;https://runsignup.com/Race/NY/Buffalo/LapsofLoveWalkRunRoll;RunSignup;
Three Lakes Triathlons and Kings Market San Juan Island Runs - Olympic;Triathlon;20.06.2026;Friday Harbor;United States;4313 Roche Harbor Road, Friday Harbor, WA, United States;48.5433121;-123.0246054;31.4 Miles;This all-sport weekend is sure to please. Nestled in the heart of San Juan Island, Lakedale Resort s family friendly atmosphere is the perfect location for an event! Both the Triathlon and the Runs occur on the same day, and some of the courses are similar. A triathlon on an island and not just any island, San Juan Island, WA! An Island with breathtaking views, natures finest, hills and numerous times on top 10 island lists! Where else have you had the chance to see Orca Whales on the Olympic b;https://runsignup.com/Race/WA/FridayHarbor/ThreeLakesTriathlonAtLakedale;RunSignup;
Three Lakes Triathlons and Kings Market San Juan Island Runs - Sprint;Triathlon;20.06.2026;Friday Harbor;United States;4313 Roche Harbor Road, Friday Harbor, WA, United States;48.5433121;-123.0246054;15.7 Miles;This all-sport weekend is sure to please. Nestled in the heart of San Juan Island, Lakedale Resort s family friendly atmosphere is the perfect location for an event! Both the Triathlon and the Runs occur on the same day, and some of the courses are similar. A triathlon on an island and not just any island, San Juan Island, WA! An Island with breathtaking views, natures finest, hills and numerous times on top 10 island lists! Where else have you had the chance to see Orca Whales on the Olympic b;https://runsignup.com/Race/WA/FridayHarbor/ThreeLakesTriathlonAtLakedale;RunSignup;
Three Lakes Triathlons and Kings Market San Juan Island Runs - Half Marathon;Triathlon;20.06.2026;Friday Harbor;United States;4313 Roche Harbor Road, Friday Harbor, WA, United States;48.5433121;-123.0246054;Half Marathon;This all-sport weekend is sure to please. Nestled in the heart of San Juan Island, Lakedale Resort s family friendly atmosphere is the perfect location for an event! Both the Triathlon and the Runs occur on the same day, and some of the courses are similar. A triathlon on an island and not just any island, San Juan Island, WA! An Island with breathtaking views, natures finest, hills and numerous times on top 10 island lists! Where else have you had the chance to see Orca Whales on the Olympic b;https://runsignup.com/Race/WA/FridayHarbor/ThreeLakesTriathlonAtLakedale;RunSignup;
Three Lakes Triathlons and Kings Market San Juan Island Runs - 10K;Triathlon;20.06.2026;Friday Harbor;United States;4313 Roche Harbor Road, Friday Harbor, WA, United States;48.5433121;-123.0246054;10 km;This all-sport weekend is sure to please. Nestled in the heart of San Juan Island, Lakedale Resort s family friendly atmosphere is the perfect location for an event! Both the Triathlon and the Runs occur on the same day, and some of the courses are similar. A triathlon on an island and not just any island, San Juan Island, WA! An Island with breathtaking views, natures finest, hills and numerous times on top 10 island lists! Where else have you had the chance to see Orca Whales on the Olympic b;https://runsignup.com/Race/WA/FridayHarbor/ThreeLakesTriathlonAtLakedale;RunSignup;
Three Lakes Triathlons and Kings Market San Juan Island Runs - 5K;Triathlon;20.06.2026;Friday Harbor;United States;4313 Roche Harbor Road, Friday Harbor, WA, United States;48.5433121;-123.0246054;5K;This all-sport weekend is sure to please. Nestled in the heart of San Juan Island, Lakedale Resort s family friendly atmosphere is the perfect location for an event! Both the Triathlon and the Runs occur on the same day, and some of the courses are similar. A triathlon on an island and not just any island, San Juan Island, WA! An Island with breathtaking views, natures finest, hills and numerous times on top 10 island lists! Where else have you had the chance to see Orca Whales on the Olympic b;https://runsignup.com/Race/WA/FridayHarbor/ThreeLakesTriathlonAtLakedale;RunSignup;
