event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;image
Haster Volkslauf Osnabrück;Running;07.06.2026;Osnabrück;Germany;Osnabrück, Germany;52.2719595;8.047635;5 km, 10 km;Official local running event in Osnabrück. Distances: 5 km, 10 km. Discovered via Kilometerliebe and linked to the official event website.;https://tushaste01.de/haster-volkslauf-copy/;Kilometerliebe Discovery;
Heidenheimer Sparkassen-Stadtlauf;Running;14.06.2026;Heidenheim;Germany;Heidenheim, Germany;49.0177528;10.7421856;5 km, 10 km, Half Marathon;Official local running event in Heidenheim. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://heidenheimer-stadtlauf.de;Kilometerliebe Discovery;
Heilbronner Trollinger Marathon;Running;10.05.2026;Heilbronn;Germany;Heilbronn, Germany;49.142291;9.218655;10 km, Half Marathon, Marathon;Official local running event in Heilbronn. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.trollinger-marathon.de;Kilometerliebe Discovery;
Heizomat Altmühlseelauf;Running;18.07.2026;Gunzenhausen;Germany;Gunzenhausen, Germany;49.1147095;10.7545933;10 km, Half Marathon;Official local running event in Gunzenhausen. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.altmuehlseelauf.de;Kilometerliebe Discovery;
hella hamburg halbmarathon;Running;28.06.2026;Hamburg;Germany;Hamburg, Germany;53.5501721;10.0013165;Half Marathon;Official local running event in Hamburg. Distances: Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.hamburg-halbmarathon.de/;Kilometerliebe Discovery;
hella Marathon Rostock;Running;01.08.2026;Rostock;Germany;Rostock, Germany;54.0886707;12.1400211;10 km, Half Marathon, Marathon;Official local running event in Rostock. Distances: 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.rostocker-marathon-nacht.com;Kilometerliebe Discovery;
Hennefer Europalauf;Running;20.06.2026;Hennef;Germany;Hennef, Germany;50.7754417;7.2847945;5 km, 10 km, Half Marathon;Official local running event in Hennef. Distances: 5 km, 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://europalauf.eu;Kilometerliebe Discovery;
Herzogstadtlauf Straubing;Running;10.05.2026;Straubing;Germany;Straubing, Germany;48.8819801;12.569716;5 km, 10 km, Half Marathon, Marathon;Official local running event in Straubing. Distances: 5 km, 10 km, Half Marathon, Marathon. Discovered via Kilometerliebe and linked to the official event website.;http://www.herzogstadtlauf.de;Kilometerliebe Discovery;
Heumadener Volkslauf;Running;19.07.2026;Stuttgart;Germany;Stuttgart, Germany;48.7784485;9.1800132;10 km, Half Marathon;Official local running event in Stuttgart. Distances: 10 km, Half Marathon. Discovered via Kilometerliebe and linked to the official event website.;https://www.tsv-heumaden.de/veranstaltungen/heumadener-volkslauf;Kilometerliebe Discovery;
Hexenstieg Ultramarathon;Ultramarathon;17.04.2026;Osterode;Germany;Osterode, Germany;51.5652379;10.8170527;160.9 km;Official local running event in Osterode. Distances: 160.9 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.hexenstieg-ultra.de;Kilometerliebe Discovery;
Hexenstieg-Ultramarathon;Ultramarathon;16.04.2027;Osterode;Germany;Osterode, Germany;51.5652379;10.8170527;160.9 km;Official local running event in Osterode. Distances: 160.9 km. Discovered via Kilometerliebe and linked to the official event website.;https://www.hexenstieg-ultra.de;Kilometerliebe Discovery;
